molecule_id,score_kcal_mol,status,reason
DECOY_0000,-6.5585,ok,
DECOY_0001,-6.5902,ok,
DECOY_0002,-6.5403,ok,
DECOY_0003,-8.0471,ok,
DECOY_0004,-6.6387,ok,
DECOY_0005,-6.2725,ok,
DECOY_0006,-5.6777,ok,
DECOY_0007,-6.2784,ok,
DECOY_0008,-6.129,ok,
DECOY_0009,-8.6809,ok,
DECOY_0010,-7.9989,ok,
DECOY_0011,-4.8546,ok,
DECOY_0012,-4.1112,ok,
DECOY_0013,-4.6486,ok,
DECOY_0014,-5.182,ok,
DECOY_0015,-6.5732,ok,
DECOY_0016,-7.7526,ok,
DECOY_0017,-8.3591,ok,
DECOY_0018,-7.0644,ok,
DECOY_0019,-9.4377,ok,
DECOY_0020,-6.2741,ok,
DECOY_0021,-5.4995,ok,
DECOY_0022,-5.6851,ok,
DECOY_0023,-5.8737,ok,
DECOY_0024,-6.917,ok,
DECOY_0025,-5.8507,ok,
DECOY_0026,-7.3012,ok,
DECOY_0027,-7.6088,ok,
DECOY_0028,-5.8437,ok,
DECOY_0029,-5.4806,ok,
DECOY_0030,-7.9653,ok,
DECOY_0031,-6.9853,ok,
DECOY_0032,-6.3631,ok,
DECOY_0033,-6.1214,ok,
DECOY_0034,-5.7611,ok,
DECOY_0035,-3.8465,ok,
DECOY_0036,-7.018,ok,
DECOY_0037,-7.3147,ok,
DECOY_0038,-6.4773,ok,
DECOY_0039,-5.5758,ok,
DECOY_0040,-8.4254,ok,
DECOY_0041,-7.5907,ok,
DECOY_0042,-5.0872,ok,
DECOY_0043,-8.3492,ok,
DECOY_0044,-5.4173,ok,
DECOY_0045,-6.7518,ok,
DECOY_0046,-6.2128,ok,
DECOY_0047,-9.2794,ok,
DECOY_0048,-9.1661,ok,
DECOY_0049,-8.0364,ok,
DECOY_0050,-6.5661,ok,
DECOY_0051,-4.8343,ok,
DECOY_0052,-9.0135,ok,
DECOY_0053,-5.6179,ok,
DECOY_0054,-7.0901,ok,
DECOY_0055,-6.4025,ok,
DECOY_0056,-6.8706,ok,
DECOY_0057,-4.902,ok,
DECOY_0058,-6.2924,ok,
DECOY_0059,-7.7654,ok,
DECOY_0060,-8.9981,ok,
DECOY_0061,-4.361,ok,
DECOY_0062,-7.3736,ok,
DECOY_0063,-4.2914,ok,
DECOY_0064,-5.5968,ok,
DECOY_0065,-6.815,ok,
DECOY_0066,-6.3634,ok,
DECOY_0067,-5.5357,ok,
DECOY_0068,-5.498,ok,
DECOY_0069,-5.5974,ok,
DECOY_0070,-7.2289,ok,
DECOY_0071,-6.4927,ok,
DECOY_0072,-7.1314,ok,
DECOY_0073,-7.095,ok,
DECOY_0074,-7.355,ok,
DECOY_0075,-6.2418,ok,
DECOY_0076,-5.4133,ok,
DECOY_0077,-6.3215,ok,
DECOY_0078,-5.9852,ok,
DECOY_0079,-4.5939,ok,
DECOY_0080,-7.6205,ok,
DECOY_0081,-6.7723,ok,
DECOY_0082,-7.067,ok,
DECOY_0083,-7.5225,ok,
DECOY_0084,-6.9372,ok,
DECOY_0085,-6.2183,ok,
DECOY_0086,-5.9377,ok,
DECOY_0087,-8.1397,ok,
DECOY_0088,-6.0343,ok,
DECOY_0089,-5.4902,ok,
DECOY_0090,-5.7527,ok,
DECOY_0091,-6.394,ok,
DECOY_0092,-5.6855,ok,
DECOY_0093,-6.5488,ok,
DECOY_0094,-5.5794,ok,
DECOY_0095,-5.5045,ok,
DECOY_0096,-7.464,ok,
DECOY_0097,-4.908,ok,
DECOY_0098,-8.886,ok,
DECOY_0099,-5.7633,ok,
DECOY_0100,-5.3029,ok,
DECOY_0101,-5.3983,ok,
DECOY_0102,-6.0133,ok,
DECOY_0103,-6.1425,ok,
DECOY_0104,-7.5843,ok,
DECOY_0105,-4.9993,ok,
DECOY_0106,-6.4403,ok,
DECOY_0107,-7.2376,ok,
DECOY_0108,-3.6283,ok,
DECOY_0109,-6.4048,ok,
DECOY_0110,-6.7774,ok,
DECOY_0111,-6.0127,ok,
DECOY_0112,-6.9143,ok,
DECOY_0113,-5.8196,ok,
DECOY_0114,-5.0396,ok,
DECOY_0115,-4.7131,ok,
DECOY_0116,-4.8181,ok,
DECOY_0117,-7.239,ok,
DECOY_0118,-7.1817,ok,
DECOY_0119,-5.7181,ok,
DECOY_0120,-6.6966,ok,
DECOY_0121,-7.7022,ok,
DECOY_0122,-5.4002,ok,
DECOY_0123,-6.395,ok,
DECOY_0124,-6.8269,ok,
DECOY_0125,-5.971,ok,
DECOY_0126,-6.4105,ok,
DECOY_0127,-4.3276,ok,
DECOY_0128,-7.3239,ok,
DECOY_0129,-5.2587,ok,
DECOY_0130,-4.6566,ok,
DECOY_0131,-9.07,ok,
DECOY_0132,-6.0203,ok,
DECOY_0133,-7.2466,ok,
DECOY_0134,-6.0379,ok,
DECOY_0135,-5.9929,ok,
DECOY_0136,-6.6098,ok,
DECOY_0137,-4.9158,ok,
DECOY_0138,-6.9726,ok,
DECOY_0139,-7.0433,ok,
DECOY_0140,-6.1251,ok,
DECOY_0141,-6.7985,ok,
DECOY_0142,-4.5114,ok,
DECOY_0143,-6.3579,ok,
DECOY_0144,-6.4767,ok,
