molecule_chembl_id,canonical_smiles,median_ic50_nM,n_measurements
CHEMBL5417147,COC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,0.0,1
CHEMBL5405059,O=C1NC(NC23CC4CC(CC(O)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,0.0,1
CHEMBL5404544,O=C1NC(N[C@@H](CO)c2ccccc2)=N/C1=C\c1ccc2ncsc2c1,0.0,1
CHEMBL2386747,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,0.22,8
CHEMBL5575038,O[C@@H](CNc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.2696,2
CHEMBL5575589,COc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)c(F)c1,0.3218,2
CHEMBL5569968,Cc1ccc2c(-c3ccc4ncnc(NC[C@H](O)c5ccccc5)c4c3)c[nH]c2n1,0.33,1
CHEMBL5567566,OC(CNc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.3394,2
CHEMBL2386745,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4OC)c3c2s1,0.36,1
CHEMBL3894571,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4F)c3c2s1,0.36,6
CHEMBL5572106,OC[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.37075,2
CHEMBL5569075,C[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1cccc(F)c1,0.43825,2
CHEMBL5575553,Clc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)c(Cl)c1,0.43825,2
CHEMBL5574654,Fc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)c(F)c1,0.43825,2
CHEMBL5575017,c1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1,0.4899,2
CHEMBL5573276,C[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.54975,2
CHEMBL5567320,CC(C)(CNc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)C(=O)O,0.6183000000000001,2
CHEMBL5565788,OCC(Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.6305000000000001,2
CHEMBL5571982,c1ccc(CNc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1,0.6305000000000001,2
CHEMBL5570661,c1ccc(CCNc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1,0.64285,2
CHEMBL5565234,C[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1F,0.64785,2
CHEMBL5569807,O[C@H](CNc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,0.66035,2
CHEMBL5574295,Cc1ccc2c(-c3ccc4ncnc(N[C@H](CO)c5ccccc5)c4c3)c[nH]c2n1,0.68,1
CHEMBL5563684,c1cnc2[nH]cc(-c3ccc4ncnc(NCC5CCOCC5)c4c3)c2c1,0.79215,2
CHEMBL5595817,O=C(O)C1CCN(c2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)CC1,0.8114,2
